ED_1	Name	Type	Level	Position	Volume [ul]	Instrument Method
None	S00006.R1.T24.TR2	Unknown		RC6	25.0	MS_Catechol_Iso_25C_96W
None	S00007.R1.T0.TR1	Unknown		RA7	25.0	MS_Catechol_Iso_25C_96W
None	S00007.R1.T0.TR2	Unknown		RA7	25.0	MS_Catechol_Iso_25C_96W
None	S00007.R1.T12.TR1	Unknown		RB7	25.0	MS_Catechol_Iso_25C_96W
None	S00007.R1.T12.TR2	Unknown		RB7	25.0	MS_Catechol_Iso_25C_96W
None	S00007.R1.T24.TR1	Unknown		RC7	25.0	MS_Catechol_Iso_25C_96W
None	S00007.R1.T24.TR2	Unknown		RC7	25.0	MS_Catechol_Iso_25C_96W
None	S00008.R1.T0.TR1	Unknown		RA8	25.0	MS_Catechol_Iso_25C_96W
None	S00008.R1.T0.TR2	Unknown		RA8	25.0	MS_Catechol_Iso_25C_96W
None	S00008.R1.T12.TR1	Unknown		RB8	25.0	MS_Catechol_Iso_25C_96W
None	S00008.R1.T12.TR2	Unknown		RB8	25.0	MS_Catechol_Iso_25C_96W
None	S00008.R1.T24.TR1	Unknown		RC8	25.0	MS_Catechol_Iso_25C_96W
None	S00008.R1.T24.TR2	Unknown		RC8	25.0	MS_Catechol_Iso_25C_96W
None	S00009.R1.T0.TR1	Unknown		RA9	25.0	MS_Catechol_Iso_25C_96W
None	S00009.R1.T0.TR2	Unknown		RA9	25.0	MS_Catechol_Iso_25C_96W
None	S00009.R1.T12.TR1	Unknown		RB9	25.0	MS_Catechol_Iso_25C_96W
None	S00009.R1.T12.TR2	Unknown		RB9	25.0	MS_Catechol_Iso_25C_96W
None	S00009.R1.T24.TR1	Unknown		RC9	25.0	MS_Catechol_Iso_25C_96W
None	S00009.R1.T24.TR2	Unknown		RC9	25.0	MS_Catechol_Iso_25C_96W
None	S00010.R1.T0.TR1	Unknown		RA10	25.0	MS_Catechol_Iso_25C_96W
None	S00010.R1.T0.TR2	Unknown		RA10	25.0	MS_Catechol_Iso_25C_96W
None	S00010.R1.T12.TR1	Unknown		RB10	25.0	MS_Catechol_Iso_25C_96W
None	S00010.R1.T12.TR2	Unknown		RB10	25.0	MS_Catechol_Iso_25C_96W
None	S00010.R1.T24.TR1	Unknown		RC10	25.0	MS_Catechol_Iso_25C_96W
None	S00010.R1.T24.TR2	Unknown		RC10	25.0	MS_Catechol_Iso_25C_96W
None	S00011.R1.T0.TR1	Unknown		RA11	25.0	MS_Catechol_Iso_25C_96W
None	S00011.R1.T0.TR2	Unknown		RA11	25.0	MS_Catechol_Iso_25C_96W
None	S00011.R1.T12.TR1	Unknown		RB11	25.0	MS_Catechol_Iso_25C_96W
None	S00011.R1.T12.TR2	Unknown		RB11	25.0	MS_Catechol_Iso_25C_96W
None	S00011.R1.T24.TR1	Unknown		RC11	25.0	MS_Catechol_Iso_25C_96W
None	S00011.R1.T24.TR2	Unknown		RC11	25.0	MS_Catechol_Iso_25C_96W
None	S00012.R1.T0.TR1	Unknown		RA12	25.0	MS_Catechol_Iso_25C_96W
None	S00012.R1.T0.TR2	Unknown		RA12	25.0	MS_Catechol_Iso_25C_96W
None	S00012.R1.T12.TR1	Unknown		RB12	25.0	MS_Catechol_Iso_25C_96W
None	S00012.R1.T12.TR2	Unknown		RB12	25.0	MS_Catechol_Iso_25C_96W
None	S00012.R1.T24.TR1	Unknown		RC12	25.0	MS_Catechol_Iso_25C_96W
None	S00012.R1.T24.TR2	Unknown		RC12	25.0	MS_Catechol_Iso_25C_96W
None	S00013.R1.T0.TR1	Unknown		RD1	25.0	MS_Catechol_Iso_25C_96W
None	S00013.R1.T0.TR2	Unknown		RD1	25.0	MS_Catechol_Iso_25C_96W
None	S00013.R1.T12.TR1	Unknown		RE1	25.0	MS_Catechol_Iso_25C_96W
None	S00013.R1.T12.TR2	Unknown		RE1	25.0	MS_Catechol_Iso_25C_96W
None	S00013.R1.T24.TR1	Unknown		RF1	25.0	MS_Catechol_Iso_25C_96W
None	S00013.R1.T24.TR2	Unknown		RF1	25.0	MS_Catechol_Iso_25C_96W
None	S00014.R1.T0.TR1	Unknown		RD2	25.0	MS_Catechol_Iso_25C_96W
None	S00014.R1.T0.TR2	Unknown		RD2	25.0	MS_Catechol_Iso_25C_96W
None	S00014.R1.T12.TR1	Unknown		RE2	25.0	MS_Catechol_Iso_25C_96W
None	S00014.R1.T12.TR2	Unknown		RE2	25.0	MS_Catechol_Iso_25C_96W
None	S00014.R1.T24.TR1	Unknown		RF2	25.0	MS_Catechol_Iso_25C_96W
None	S00014.R1.T24.TR2	Unknown		RF2	25.0	MS_Catechol_Iso_25C_96W
None	S00015.R1.T0.TR1	Unknown		RD3	25.0	MS_Catechol_Iso_25C_96W
None	S00015.R1.T0.TR2	Unknown		RD3	25.0	MS_Catechol_Iso_25C_96W
None	S00015.R1.T12.TR1	Unknown		RE3	25.0	MS_Catechol_Iso_25C_96W
None	S00015.R1.T12.TR2	Unknown		RE3	25.0	MS_Catechol_Iso_25C_96W
None	S00015.R1.T24.TR1	Unknown		RF3	25.0	MS_Catechol_Iso_25C_96W
None	S00015.R1.T24.TR2	Unknown		RF3	25.0	MS_Catechol_Iso_25C_96W
None	S00016.R1.T0.TR1	Unknown		RD4	25.0	MS_Catechol_Iso_25C_96W
None	S00016.R1.T0.TR2	Unknown		RD4	25.0	MS_Catechol_Iso_25C_96W
None	S00016.R1.T12.TR1	Unknown		RE4	25.0	MS_Catechol_Iso_25C_96W
None	S00016.R1.T12.TR2	Unknown		RE4	25.0	MS_Catechol_Iso_25C_96W
None	S00016.R1.T24.TR1	Unknown		RF4	25.0	MS_Catechol_Iso_25C_96W
None	S00016.R1.T24.TR2	Unknown		RF4	25.0	MS_Catechol_Iso_25C_96W
None	S00017.R1.T0.TR1	Unknown		RD5	25.0	MS_Catechol_Iso_25C_96W
None	S00017.R1.T0.TR2	Unknown		RD5	25.0	MS_Catechol_Iso_25C_96W
None	S00017.R1.T12.TR1	Unknown		RE5	25.0	MS_Catechol_Iso_25C_96W
None	S00017.R1.T12.TR2	Unknown		RE5	25.0	MS_Catechol_Iso_25C_96W
None	STD0_HClO4	Unknown		BA1	25.0	MS_Catechol_Iso_25C_Vial
None	STD1_100	Unknown		BA2	25.0	MS_Catechol_Iso_25C_Vial
None	STD2_50	Unknown		BA3	25.0	MS_Catechol_Iso_25C_Vial
None	STD3_25	Unknown		BA4	25.0	MS_Catechol_Iso_25C_Vial
None	STD4_12.5	Unknown		BA5	25.0	MS_Catechol_Iso_25C_Vial
None	STD5_6.25	Unknown		BA6	25.0	MS_Catechol_Iso_25C_Vial
None	S00017.R1.T24.TR1	Unknown		RF5	25.0	MS_Catechol_Iso_25C_96W
None	S00017.R1.T24.TR2	Unknown		RF5	25.0	MS_Catechol_Iso_25C_96W
None	S00018.R1.T0.TR1	Unknown		RD6	25.0	MS_Catechol_Iso_25C_96W
None	S00018.R1.T0.TR2	Unknown		RD6	25.0	MS_Catechol_Iso_25C_96W
None	S00018.R1.T12.TR1	Unknown		RE6	25.0	MS_Catechol_Iso_25C_96W
None	S00018.R1.T12.TR2	Unknown		RE6	25.0	MS_Catechol_Iso_25C_96W
None	S00018.R1.T24.TR1	Unknown		RF6	25.0	MS_Catechol_Iso_25C_96W
None	S00018.R1.T24.TR2	Unknown		RF6	25.0	MS_Catechol_Iso_25C_96W
None	S00019.R1.T0.TR1	Unknown		RD7	25.0	MS_Catechol_Iso_25C_96W
None	S00019.R1.T0.TR2	Unknown		RD7	25.0	MS_Catechol_Iso_25C_96W
None	S00019.R1.T12.TR1	Unknown		RE7	25.0	MS_Catechol_Iso_25C_96W
None	S00019.R1.T12.TR2	Unknown		RE7	25.0	MS_Catechol_Iso_25C_96W
None	S00019.R1.T24.TR1	Unknown		RF7	25.0	MS_Catechol_Iso_25C_96W
None	S00019.R1.T24.TR2	Unknown		RF7	25.0	MS_Catechol_Iso_25C_96W
None	S00020.R1.T0.TR1	Unknown		RD8	25.0	MS_Catechol_Iso_25C_96W
None	S00020.R1.T0.TR2	Unknown		RD8	25.0	MS_Catechol_Iso_25C_96W
None	S00020.R1.T12.TR1	Unknown		RE8	25.0	MS_Catechol_Iso_25C_96W
None	S00020.R1.T12.TR2	Unknown		RE8	25.0	MS_Catechol_Iso_25C_96W
None	S00020.R1.T24.TR1	Unknown		RF8	25.0	MS_Catechol_Iso_25C_96W
None	S00020.R1.T24.TR2	Unknown		RF8	25.0	MS_Catechol_Iso_25C_96W
None	S00021.R1.T0.TR1	Unknown		RD9	25.0	MS_Catechol_Iso_25C_96W
None	S00021.R1.T0.TR2	Unknown		RD9	25.0	MS_Catechol_Iso_25C_96W
None	S00021.R1.T12.TR1	Unknown		RE9	25.0	MS_Catechol_Iso_25C_96W
None	S00021.R1.T12.TR2	Unknown		RE9	25.0	MS_Catechol_Iso_25C_96W
None	S00021.R1.T24.TR1	Unknown		RF9	25.0	MS_Catechol_Iso_25C_96W
None	S00021.R1.T24.TR2	Unknown		RF9	25.0	MS_Catechol_Iso_25C_96W
None	S00022.R1.T0.TR1	Unknown		RD10	25.0	MS_Catechol_Iso_25C_96W
None	S00022.R1.T0.TR2	Unknown		RD10	25.0	MS_Catechol_Iso_25C_96W
None	S00022.R1.T12.TR1	Unknown		RE10	25.0	MS_Catechol_Iso_25C_96W
None	S00022.R1.T12.TR2	Unknown		RE10	25.0	MS_Catechol_Iso_25C_96W
None	S00022.R1.T24.TR1	Unknown		RF10	25.0	MS_Catechol_Iso_25C_96W
None	S00022.R1.T24.TR2	Unknown		RF10	25.0	MS_Catechol_Iso_25C_96W
None	S00023.R1.T0.TR1	Unknown		RD11	25.0	MS_Catechol_Iso_25C_96W
None	S00023.R1.T0.TR2	Unknown		RD11	25.0	MS_Catechol_Iso_25C_96W
None	S00023.R1.T12.TR1	Unknown		RE11	25.0	MS_Catechol_Iso_25C_96W
None	S00023.R1.T12.TR2	Unknown		RE11	25.0	MS_Catechol_Iso_25C_96W
None	S00023.R1.T24.TR1	Unknown		RF11	25.0	MS_Catechol_Iso_25C_96W
None	S00023.R1.T24.TR2	Unknown		RF11	25.0	MS_Catechol_Iso_25C_96W
None	S00024.R1.T0.TR1	Unknown		RD12	25.0	MS_Catechol_Iso_25C_96W
None	S00024.R1.T0.TR2	Unknown		RD12	25.0	MS_Catechol_Iso_25C_96W
None	S00024.R1.T12.TR1	Unknown		RE12	25.0	MS_Catechol_Iso_25C_96W
None	S00024.R1.T12.TR2	Unknown		RE12	25.0	MS_Catechol_Iso_25C_96W
None	S00024.R1.T24.TR1	Unknown		RF12	25.0	MS_Catechol_Iso_25C_96W
None	S00024.R1.T24.TR2	Unknown		RF12	25.0	MS_Catechol_Iso_25C_96W
None	S00025.R1.T0.TR1	Unknown		RG1	25.0	MS_Catechol_Iso_25C_96W
None	S00025.R1.T0.TR2	Unknown		RG1	25.0	MS_Catechol_Iso_25C_96W
None	S00025.R1.T12.TR1	Unknown		RH1	25.0	MS_Catechol_Iso_25C_96W
None	S00025.R1.T12.TR2	Unknown		RH1	25.0	MS_Catechol_Iso_25C_96W
None	S00025.R1.T24.TR1	Unknown		GA1	25.0	MS_Catechol_Iso_25C_96W
None	S00025.R1.T24.TR2	Unknown		GA1	25.0	MS_Catechol_Iso_25C_96W
None	S00026.R1.T0.TR1	Unknown		RG2	25.0	MS_Catechol_Iso_25C_96W
None	S00026.R1.T0.TR2	Unknown		RG2	25.0	MS_Catechol_Iso_25C_96W
None	S00026.R1.T12.TR1	Unknown		RH2	25.0	MS_Catechol_Iso_25C_96W
None	S00026.R1.T12.TR2	Unknown		RH2	25.0	MS_Catechol_Iso_25C_96W
None	S00026.R1.T24.TR1	Unknown		GA2	25.0	MS_Catechol_Iso_25C_96W
None	S00026.R1.T24.TR2	Unknown		GA2	25.0	MS_Catechol_Iso_25C_96W
None	S00027.R1.T0.TR1	Unknown		RG3	25.0	MS_Catechol_Iso_25C_96W
None	S00027.R1.T0.TR2	Unknown		RG3	25.0	MS_Catechol_Iso_25C_96W
None	S00027.R1.T12.TR1	Unknown		RH3	25.0	MS_Catechol_Iso_25C_96W
None	S00027.R1.T12.TR2	Unknown		RH3	25.0	MS_Catechol_Iso_25C_96W
None	S00027.R1.T24.TR1	Unknown		GA3	25.0	MS_Catechol_Iso_25C_96W
None	S00027.R1.T24.TR2	Unknown		GA3	25.0	MS_Catechol_Iso_25C_96W
None	S00028.R1.T0.TR1	Unknown		RG4	25.0	MS_Catechol_Iso_25C_96W
None	S00028.R1.T0.TR2	Unknown		RG4	25.0	MS_Catechol_Iso_25C_96W
None	S00028.R1.T12.TR1	Unknown		RH4	25.0	MS_Catechol_Iso_25C_96W
None	S00028.R1.T12.TR2	Unknown		RH4	25.0	MS_Catechol_Iso_25C_96W
None	S00028.R1.T24.TR1	Unknown		GA4	25.0	MS_Catechol_Iso_25C_96W
None	S00028.R1.T24.TR2	Unknown		GA4	25.0	MS_Catechol_Iso_25C_96W
None	S00029.R1.T0.TR1	Unknown		RG5	25.0	MS_Catechol_Iso_25C_96W
None	S00029.R1.T0.TR2	Unknown		RG5	25.0	MS_Catechol_Iso_25C_96W
None	S00029.R1.T12.TR1	Unknown		RH5	25.0	MS_Catechol_Iso_25C_96W
None	S00029.R1.T12.TR2	Unknown		RH5	25.0	MS_Catechol_Iso_25C_96W
None	S00029.R1.T24.TR1	Unknown		GA5	25.0	MS_Catechol_Iso_25C_96W
None	S00029.R1.T24.TR2	Unknown		GA5	25.0	MS_Catechol_Iso_25C_96W
None	S00030.R1.T0.TR1	Unknown		RG6	25.0	MS_Catechol_Iso_25C_96W
None	S00030.R1.T0.TR2	Unknown		RG6	25.0	MS_Catechol_Iso_25C_96W
None	S00030.R1.T12.TR1	Unknown		RH6	25.0	MS_Catechol_Iso_25C_96W
None	S00030.R1.T12.TR2	Unknown		RH6	25.0	MS_Catechol_Iso_25C_96W
None	S00030.R1.T24.TR1	Unknown		GA6	25.0	MS_Catechol_Iso_25C_96W
None	S00030.R1.T24.TR2	Unknown		GA6	25.0	MS_Catechol_Iso_25C_96W
None	S00031.R1.T0.TR1	Unknown		RG7	25.0	MS_Catechol_Iso_25C_96W
None	S00031.R1.T0.TR2	Unknown		RG7	25.0	MS_Catechol_Iso_25C_96W
None	S00031.R1.T12.TR1	Unknown		RH7	25.0	MS_Catechol_Iso_25C_96W
None	S00031.R1.T12.TR2	Unknown		RH7	25.0	MS_Catechol_Iso_25C_96W
None	S00031.R1.T24.TR1	Unknown		GA7	25.0	MS_Catechol_Iso_25C_96W
None	S00031.R1.T24.TR2	Unknown		GA7	25.0	MS_Catechol_Iso_25C_96W
None	S00032.R1.T0.TR1	Unknown		RG8	25.0	MS_Catechol_Iso_25C_96W
None	S00032.R1.T0.TR2	Unknown		RG8	25.0	MS_Catechol_Iso_25C_96W
None	S00032.R1.T12.TR1	Unknown		RH8	25.0	MS_Catechol_Iso_25C_96W
None	S00032.R1.T12.TR2	Unknown		RH8	25.0	MS_Catechol_Iso_25C_96W
None	S00032.R1.T24.TR1	Unknown		GA8	25.0	MS_Catechol_Iso_25C_96W
None	S00032.R1.T24.TR2	Unknown		GA8	25.0	MS_Catechol_Iso_25C_96W
None	S00033.R1.T0.TR1	Unknown		RG9	25.0	MS_Catechol_Iso_25C_96W
None	S00033.R1.T0.TR2	Unknown		RG9	25.0	MS_Catechol_Iso_25C_96W
None	S00033.R1.T12.TR1	Unknown		RH9	25.0	MS_Catechol_Iso_25C_96W
None	S00033.R1.T12.TR2	Unknown		RH9	25.0	MS_Catechol_Iso_25C_96W
None	S00033.R1.T24.TR1	Unknown		GA9	25.0	MS_Catechol_Iso_25C_96W
None	S00033.R1.T24.TR2	Unknown		GA9	25.0	MS_Catechol_Iso_25C_96W
None	S00034.R1.T0.TR1	Unknown		RG10	25.0	MS_Catechol_Iso_25C_96W
None	S00034.R1.T0.TR2	Unknown		RG10	25.0	MS_Catechol_Iso_25C_96W
None	STD0_HClO4	Unknown		BA1	25.0	MS_Catechol_Iso_25C_Vial
None	STD1_100	Unknown		BA2	25.0	MS_Catechol_Iso_25C_Vial
None	STD2_50	Unknown		BA3	25.0	MS_Catechol_Iso_25C_Vial
None	STD3_25	Unknown		BA4	25.0	MS_Catechol_Iso_25C_Vial
None	STD4_12.5	Unknown		BA5	25.0	MS_Catechol_Iso_25C_Vial
None	STD5_6.25	Unknown		BA6	25.0	MS_Catechol_Iso_25C_Vial
None	S00034.R1.T12.TR1	Unknown		RH10	25.0	MS_Catechol_Iso_25C_96W
None	S00034.R1.T12.TR2	Unknown		RH10	25.0	MS_Catechol_Iso_25C_96W
None	S00034.R1.T24.TR1	Unknown		GA10	25.0	MS_Catechol_Iso_25C_96W
None	S00034.R1.T24.TR2	Unknown		GA10	25.0	MS_Catechol_Iso_25C_96W
None	S00035.R1.T0.TR1	Unknown		RG11	25.0	MS_Catechol_Iso_25C_96W
None	S00035.R1.T0.TR2	Unknown		RG11	25.0	MS_Catechol_Iso_25C_96W
None	S00035.R1.T12.TR1	Unknown		RH11	25.0	MS_Catechol_Iso_25C_96W
None	S00035.R1.T12.TR2	Unknown		RH11	25.0	MS_Catechol_Iso_25C_96W
None	S00035.R1.T24.TR1	Unknown		GA11	25.0	MS_Catechol_Iso_25C_96W
None	S00035.R1.T24.TR2	Unknown		GA11	25.0	MS_Catechol_Iso_25C_96W
None	S00036.R1.T0.TR1	Unknown		RG12	25.0	MS_Catechol_Iso_25C_96W
None	S00036.R1.T0.TR2	Unknown		RG12	25.0	MS_Catechol_Iso_25C_96W
None	S00036.R1.T12.TR1	Unknown		RH12	25.0	MS_Catechol_Iso_25C_96W
None	S00036.R1.T12.TR2	Unknown		RH12	25.0	MS_Catechol_Iso_25C_96W
None	S00036.R1.T24.TR1	Unknown		GA12	25.0	MS_Catechol_Iso_25C_96W
None	S00036.R1.T24.TR2	Unknown		GA12	25.0	MS_Catechol_Iso_25C_96W
None	S00037.R1.T0.TR1	Unknown		GB1	25.0	MS_Catechol_Iso_25C_96W
None	S00037.R1.T0.TR2	Unknown		GB1	25.0	MS_Catechol_Iso_25C_96W
None	S00037.R1.T12.TR1	Unknown		GC1	25.0	MS_Catechol_Iso_25C_96W
None	S00037.R1.T12.TR2	Unknown		GC1	25.0	MS_Catechol_Iso_25C_96W
None	S00037.R1.T24.TR1	Unknown		GD1	25.0	MS_Catechol_Iso_25C_96W
None	S00037.R1.T24.TR2	Unknown		GD1	25.0	MS_Catechol_Iso_25C_96W
None	S00038.R1.T0.TR1	Unknown		GB2	25.0	MS_Catechol_Iso_25C_96W
None	S00038.R1.T0.TR2	Unknown		GB2	25.0	MS_Catechol_Iso_25C_96W
None	S00038.R1.T12.TR1	Unknown		GC2	25.0	MS_Catechol_Iso_25C_96W
None	S00038.R1.T12.TR2	Unknown		GC2	25.0	MS_Catechol_Iso_25C_96W
None	S00038.R1.T24.TR1	Unknown		GD2	25.0	MS_Catechol_Iso_25C_96W
None	S00038.R1.T24.TR2	Unknown		GD2	25.0	MS_Catechol_Iso_25C_96W
None	S00039.R1.T0.TR1	Unknown		GB3	25.0	MS_Catechol_Iso_25C_96W
None	S00039.R1.T0.TR2	Unknown		GB3	25.0	MS_Catechol_Iso_25C_96W
None	S00039.R1.T12.TR1	Unknown		GC3	25.0	MS_Catechol_Iso_25C_96W
None	S00039.R1.T12.TR2	Unknown		GC3	25.0	MS_Catechol_Iso_25C_96W
None	S00039.R1.T24.TR1	Unknown		GD3	25.0	MS_Catechol_Iso_25C_96W
None	S00039.R1.T24.TR2	Unknown		GD3	25.0	MS_Catechol_Iso_25C_96W
None	S00040.R1.T0.TR1	Unknown		GB4	25.0	MS_Catechol_Iso_25C_96W
None	S00040.R1.T0.TR2	Unknown		GB4	25.0	MS_Catechol_Iso_25C_96W
None	S00040.R1.T12.TR1	Unknown		GC4	25.0	MS_Catechol_Iso_25C_96W
None	S00040.R1.T12.TR2	Unknown		GC4	25.0	MS_Catechol_Iso_25C_96W
None	S00040.R1.T24.TR1	Unknown		GD4	25.0	MS_Catechol_Iso_25C_96W
None	S00040.R1.T24.TR2	Unknown		GD4	25.0	MS_Catechol_Iso_25C_96W
None	S00041.R1.T0.TR1	Unknown		GB5	25.0	MS_Catechol_Iso_25C_96W
None	S00041.R1.T0.TR2	Unknown		GB5	25.0	MS_Catechol_Iso_25C_96W
None	S00041.R1.T12.TR1	Unknown		GC5	25.0	MS_Catechol_Iso_25C_96W
None	S00041.R1.T12.TR2	Unknown		GC5	25.0	MS_Catechol_Iso_25C_96W
None	S00041.R1.T24.TR1	Unknown		GD5	25.0	MS_Catechol_Iso_25C_96W
None	S00041.R1.T24.TR2	Unknown		GD5	25.0	MS_Catechol_Iso_25C_96W
None	S00042.R1.T0.TR1	Unknown		GB6	25.0	MS_Catechol_Iso_25C_96W
None	S00042.R1.T0.TR2	Unknown		GB6	25.0	MS_Catechol_Iso_25C_96W
None	S00042.R1.T12.TR1	Unknown		GC6	25.0	MS_Catechol_Iso_25C_96W
None	S00042.R1.T12.TR2	Unknown		GC6	25.0	MS_Catechol_Iso_25C_96W
None	S00042.R1.T24.TR1	Unknown		GD6	25.0	MS_Catechol_Iso_25C_96W
None	S00042.R1.T24.TR2	Unknown		GD6	25.0	MS_Catechol_Iso_25C_96W
None	S00043.R1.T0.TR1	Unknown		GB7	25.0	MS_Catechol_Iso_25C_96W
None	S00043.R1.T0.TR2	Unknown		GB7	25.0	MS_Catechol_Iso_25C_96W
None	S00043.R1.T12.TR1	Unknown		GC7	25.0	MS_Catechol_Iso_25C_96W
None	S00043.R1.T12.TR2	Unknown		GC7	25.0	MS_Catechol_Iso_25C_96W
None	S00043.R1.T24.TR1	Unknown		GD7	25.0	MS_Catechol_Iso_25C_96W
None	S00043.R1.T24.TR2	Unknown		GD7	25.0	MS_Catechol_Iso_25C_96W
None	S00044.R1.T0.TR1	Unknown		GB8	25.0	MS_Catechol_Iso_25C_96W
None	S00044.R1.T0.TR2	Unknown		GB8	25.0	MS_Catechol_Iso_25C_96W
None	S00044.R1.T12.TR1	Unknown		GC8	25.0	MS_Catechol_Iso_25C_96W
None	S00044.R1.T12.TR2	Unknown		GC8	25.0	MS_Catechol_Iso_25C_96W
None	S00044.R1.T24.TR1	Unknown		GD8	25.0	MS_Catechol_Iso_25C_96W
None	S00044.R1.T24.TR2	Unknown		GD8	25.0	MS_Catechol_Iso_25C_96W
None	S00045.R1.T0.TR1	Unknown		GB9	25.0	MS_Catechol_Iso_25C_96W
None	S00045.R1.T0.TR2	Unknown		GB9	25.0	MS_Catechol_Iso_25C_96W
None	S00045.R1.T12.TR1	Unknown		GC9	25.0	MS_Catechol_Iso_25C_96W
None	S00045.R1.T12.TR2	Unknown		GC9	25.0	MS_Catechol_Iso_25C_96W
None	S00045.R1.T24.TR1	Unknown		GD9	25.0	MS_Catechol_Iso_25C_96W
None	S00045.R1.T24.TR2	Unknown		GD9	25.0	MS_Catechol_Iso_25C_96W
None	S00046.R1.T0.TR1	Unknown		GB10	25.0	MS_Catechol_Iso_25C_96W
None	S00046.R1.T0.TR2	Unknown		GB10	25.0	MS_Catechol_Iso_25C_96W
None	S00046.R1.T12.TR1	Unknown		GC10	25.0	MS_Catechol_Iso_25C_96W
None	S00046.R1.T12.TR2	Unknown		GC10	25.0	MS_Catechol_Iso_25C_96W
None	S00046.R1.T24.TR1	Unknown		GD10	25.0	MS_Catechol_Iso_25C_96W
None	S00046.R1.T24.TR2	Unknown		GD10	25.0	MS_Catechol_Iso_25C_96W
None	S00047.R1.T0.TR1	Unknown		GB11	25.0	MS_Catechol_Iso_25C_96W
None	S00047.R1.T0.TR2	Unknown		GB11	25.0	MS_Catechol_Iso_25C_96W
None	S00047.R1.T12.TR1	Unknown		GC11	25.0	MS_Catechol_Iso_25C_96W
None	S00047.R1.T12.TR2	Unknown		GC11	25.0	MS_Catechol_Iso_25C_96W
